group_family,Nc,Nt,Ns,nF,nAS,nS,nADJ,name,beta,mass,Ls,alpha,a5,M5,mpv,therm,delta_traj,mres_p_start,mres_p_end
Sp,4,32,16,2,0,0,0,B2M2S3,7.5,0.02,8,1.5,1,1.8,1,150,5,7,22
Sp,4,32,16,2,0,0,0,B2M2S4,7.5,0.02,8,1.625,1,1.8,1,150,5,9,24
Sp,4,32,16,2,0,0,0,B2M2S5,7.5,0.02,8,1.75,1,1.8,1,150,5,10,22
Sp,4,32,16,2,0,0,0,B2M2S6,7.5,0.02,8,2,1,1.8,1,150,5,8,25
Sp,4,32,16,2,0,0,0,B2M2S7,7.5,0.02,8,2.25,1,1.8,1,150,5,5,27
Sp,4,32,16,2,0,0,0,B2M2S8,7.5,0.02,8,2.5,1,1.8,1,150,5,15,22
Sp,4,32,16,2,0,0,0,B2M2S9,7.5,0.02,8,2.75,1,1.8,1,150,5,10,20
Sp,4,32,16,2,0,0,0,B2M2S10,7.5,0.02,8,1.625,0.2,1.8,1,150,5,13,19
Sp,4,32,16,2,0,0,0,B2M2S11,7.5,0.02,8,1.625,0.5,1.8,1,150,5,10,19
Sp,4,32,16,2,0,0,0,B2M2S12,7.5,0.02,8,1.625,0.7,1.8,1,150,5,12,20
Sp,4,32,16,2,0,0,0,B2M2S13,7.5,0.02,8,1.625,0.9,1.8,1,150,5,10,26
Sp,4,32,16,2,0,0,0,B2M2S14,7.5,0.02,8,1.625,1.1,1.8,1,150,5,11,21
Sp,4,32,16,2,0,0,0,B2M2S15,7.5,0.02,8,1.625,1.2,1.8,1,150,5,13,24
Sp,4,32,16,2,0,0,0,B2M2S16,7.5,0.02,8,1.625,1.4,1.8,1,150,5,15,21
Sp,4,32,16,2,0,0,0,B2M2S17,7.5,0.02,8,1.625,1,1.4,1,150,5,6,29
Sp,4,32,16,2,0,0,0,B2M2S18,7.5,0.02,8,1.625,1,1.5,1,150,5,10,19
Sp,4,32,16,2,0,0,0,B2M2S19,7.5,0.02,8,1.625,1,1.6,1,150,5,5,26
Sp,4,32,16,2,0,0,0,B2M2S20,7.5,0.02,8,1.625,1,1.7,1,150,5,13,21
Sp,4,32,16,2,0,0,0,B2M2S21,7.5,0.02,8,1.625,1,1.75,1,150,5,8,24
Sp,4,32,16,2,0,0,0,B2M2S22,7.5,0.02,8,1.625,1,1.85,1,150,5,9,20
Sp,4,32,16,2,0,0,0,B2M2S23,7.5,0.02,8,1.625,1,1.9,1,150,5,13,21
